,X,Y,Z
P1,150,-700,600
P2,0,-700,600
P3,-150,-700,600
P4,-150,-700,450
P5,0,-700,450
P6,150,-700,450
P7,150,-700,300
P8,0,-700,300
P9,-150,-700,300
P10,-150,-550,300
P11,0,-550,300
P12,150,-550,300
P13,150,-550,450
P14,0,-550,450
P15,-150,-550,450
P16,-150,-550,600
P17,0,-550,600
P18,150,-550,600
P19,150,-400,600
P20,0,-400,600
P21,-150,-400,600
P22,-150,-400,450
P23,0,-400,450
P24,150,-400,450
P25,150,-400,300
P26,0,-400,300
P27,-150,-400,300
