,Programmed coordinate,,,CoppeliaSim coordinates,,,Coordinates differences,,,Programmed TCP orientation,,,CoppeliaSim TCP orientation,,,TCP orientation difference,,,,,,,,
,X,Y,Z,X,Y,Z,DX,DY,DZ,RX,RY,RZ,RX,RY,RZ,,,,A1,A2,A3,A4,A5,A6
P31,580,25,303,579.996109,24.9937772,302.9973506,0.003891,0.0062228,0.0026494,0,90,0,0,90,-0.001,0,0,0.001,2.678104,38.447671,17.030463,-1.287975,-57.791672,-4.648739
P32,547,-113,431,547.0010638,-113.0007804,431.0005605,-0.0010638,0.0007804,-0.0005605,0,90,0,0,89.98,0,0,0.02,0,-13.09768,19.414061,20.050016,-24.19837,-43.222472,11.751278
P33,544,-83,447,544.0016388,-83.0011368,447.0010995,-0.0016388,0.0011368,-0.0010995,0,90,0,0,90,0,0,0,0,-9.627675,16.563411,21.067937,-19.772109,-40.720263,8.706131
P34,493,187,285,492.9988086,187.0005428,284.9997878,0.0011914,-0.0005428,0.0002122,0,90,0,0,90,-0.001,0,0,0.001,23.503034,37.840706,25.309744,21.257553,-68.009861,-13.82836
P35,644,53,525,644.0019607,52.9998689,525.0014662,-0.0019607,0.0001311,-0.0014662,0,90,0,0,90,0,0,0,0,6.250144,23.309876,-1.855406,8.999873,-24.411365,-15.410745
P36,592,-10,393,591.9975042,-9.9900887,392.9990231,0.0024958,-0.0099113,0.0009769,0,90,0,0,90,-0.002,0,0,0.002,-0.852279,27.901054,14.983701,-6.017161,-45.118,-1.880584
P37,626,143,336,626.0033249,143.0048495,336.0016942,-0.0033249,-0.0048495,-0.0016942,0,90,0,0,90,0,0,0,0,14.63767,40.761896,4.725255,14.697645,-49.512947,-15.724966
P38,434,95,515,434.000492,95.0018987,515.0005817,-0.000492,-0.0018987,-0.0005817,0,90,0,0,90,0,0,0,0,15.377667,-5.221962,34.552171,22.906145,-35.120249,-26.854209
P39,635,-10,469,634.999752,-10.0019053,469.0002202,0.000248,0.0019053,-0.0002202,0,90,0,0,90,0,0,0,0,-0.361987,25.680478,3.885028,-6.251147,-31.808861,-1.423565
P40,547,245,397,546.9993352,245.0008839,396.9994783,0.0006648,-0.0008839,0.0005217,0,90,0,0,90,-0.001,0,0,0.001,27.617328,29.958152,11.947184,32.059391,-50.851401,-28.612995
P41,514,234,468,514.0013694,233.9962571,468.0018126,-0.0013694,0.0037429,-0.0018126,0,90,0,0,90,0.001,0,0,-0.001,28.535555,18.245697,16.11447,37.288427,-45.502881,-35.820043
P42,622,-144,277,621.9996213,-144.0028847,276.9992053,0.0003787,0.0028847,0.0007947,0,90,0,0,90,0,0,0,0,-14.679662,46.920606,4.578108,-22.606456,-55.050499,8.301866
P43,600,-103,393,600.0021696,-103.0076743,393.0005133,-0.0021696,0.0076743,-0.0005133,0,90,0,0,90,0,0,0,0,-10.767151,29.72571,11.530534,-20.384531,-44.488974,8.785797
P44,462,109,354,462.0048403,109.0077534,354.0047407,-0.0048403,-0.0077534,-0.0047407,0,90,0,0,90,0.001,0,0,-0.001,15.269861,21.51765,36.266053,13.196208,-61.53756,-12.309812
P45,439,103,506,439.0007853,103.0012518,506.000936,-0.0007853,-0.0012518,-0.000936,0,90,0,0,90,0,0,0,0,16.294865,-3.150168,34.188494,23.258809,-37.008452,-26.66651
P46,414,136,536,414.0016436,135.9984427,536.0027551,-0.0016436,0.0015573,-0.0027551,0,90,0,0,90,0.001,0,0,-0.001,22.580902,-7.993192,33.662997,36.560803,-35.809029,-39.313668
P47,464,-149,491,463.999629,-149.0041763,491.0001158,0.000371,0.0041763,-0.0001158,0,90,0,0,90,0,0,0,0,-20.481982,3.296446,29.126884,-38.349266,-39.35037,24.395627
P48,628,276,275,627.9988884,276.0007679,274.9998569,0.0011116,-0.0007679,0.0001431,0,90,0,0,90,-0.001,0,0,0.001,26.43792,53.468353,-7.210107,28.939637,-53.748402,-24.249988
P49,522,-143,294,521.9921469,-143.0006922,293.9955592,0.0078531,0.0006922,0.0044408,0,90,0,0,90,-0.003,0,0,0.003,-17.905683,36.250252,23.739469,-24.446274,-63.466248,6.54516
P50,537,-37,325,537.0037555,-37.0011181,325.001657,-0.0037555,0.0011181,-0.001657,0,90,0,0,90,0.001,0,0,-0.001,-4.753455,31.331191,25.290771,-9.957496,-58.904645,-0.150664
,,,,,,MIN,-0.0053148,-0.0099978,-0.0047407,,,,,,MIN,0,0,-0.002,,,,,,
,,,,,,MAX,0.008498,0.0092997,0.0050774,,,,,,MAX,0,0.02,0.005,,,,,,
